Name,Lat,Lon,Tablets,Notes,,,,
Acre,32:55:40,35:04:54,3,aka Acco,,,,
Achshaph,,,,,,,,
Ahtiruna,,,,,,,,
Alashiya,34:45:51,32:55:39,4,Alassa,,,,
Amarna,27:39:42,30:54:20,,,,,,
Amurru,,,,,,,,
Anaharath,,,,,,,,
Arzawa,38:37:25,27:55:33,1,Kaymakci,,,,
Ashdod,31:48:00,34:39:00,2,,,,,
Ashkelon,31:40,34:34,10,,,,,
Ashtaroth,,,,,,,,
Assyria,35:27:24,43:15:45,2,Assur,,,,
Babylonia,32:32:11,44:25:15,11,,,,,
Beirut,33:53:13,35:30:47,5,,,,,
Beqaa,34:00:32,36:08:43,7,Not sure,,,,
Byblos,34:07:25,35:39:04,54,,,,,
Damascus,33:30:47,36:17:31,3,,,,,
Enishasi,,,,Beqaa Valley,,,,
Gath,31:42:00,34:50:49,12,,,,,
Gezer,31:51:32,34:55:08,12,,,,,
Ginti-Kirmil,,,,,,,,
Guddashuna,,,,,,,,
Hasi,,,,,,,,
Hatti,40:01:11,34:36:55,4,Hattusas,,,,
Hazor,33:01:00,35:34:01,2,,,,,
Irqata,34:31:50,36:02:45,,Arqa,,,,
Jerusalem,31:47:00,35:13:00,,7,,,,
Labana,,,,,,,,
Lachish,31:33:54,34:50:56,,,,,,
Mitanni,,,14,washukkani/tell el fakhariya,,,,
Mushihuna,,,,,,,,
Near Bashan,,,,,,,,
Nii,,,,,,,,
Nuhashe,,,1,,,,,
Pehel,,,,,,,,
Qanu,32:45:20,36:37:00,4,Qanawat,,,,
Qatna,34:50:06,36:51:57,4,,,,,
Rehob,32:27:26,35:29:57,,,,,,
Ruhizzi,,,,,,,,
Sharuna,,,,,,,,
Shashimi,,,,,,,,
Shechem,32:12:11,35:18:40,,,,,,
Shephelah,31:41:30,34:52:30,,region?,,,,
Shimon,,,,,,,,
Sidon,33:33:38,35:23:53,,,,,,
Sumur,34:42:29,35:59:10,1,,,,,
Tubu,,,,,,,,
Tunip,35:17:22,36:23:50,,tel Acharneh,,,,
Tyre,33:16:15,35:11:46,,,,,,
Ugarit,35:36:07,35:46:55,4,,,,,
URU-x-igmate,,,,,,,,
Yurza,,,,,,,,
Ziribashani,,,,,,,,
Zuhra,,,,,,,,