name,ties,precipitation,precip_cors,costs,international,region
Arzawa,1,237.7109,0.6712208,792.028392584718,1,1
Acre,3,557.6562,0.3750783,246.779151254773,0,2
Ashdod,2,443.0995,0.6257174,135.240285225858,0,2
Ashkelon,10,428.7012,0.646496,134.136064499296,0,2
Assyria,2,444.4123,0.008967212,5676.22395802009,1,3
Babylonia,11,85.06119,0.01758174,4726.43191013829,1,4
Beirut,5,490.8174,0.2923006,365.015407822843,0,2
Beqaa,7,429.2932,0.2851602,6546.40691147933,0,2
Byblos,54,522.6906,0.2827469,156.894292162363,0,2
Damascus,3,254.6732,0.2986176,8545.54938152171,0,2
Gath,12,319.7924,0.6434693,1039.14555296869,0,2
Gezer,12,379.2039,0.6032137,649.911018380242,0,2
Hatti,4,60.31522,0.0986888,10697.3359703906,1,5
Hazor,2,463.8359,0.367276,4740.58003099714,0,2
Irqata,1,447.3596,0.2776251,528.900866687571,0,2
Jerusalem,7,322.631,0.6228523,5356.00625362613,0,2
Lachish,4,263.0754,0.6846425,1893.68692361241,0,2
Qanu,1,151.7993,0.3561124,10118.6947965568,0,2
Qatna,4,317.1391,0.2342095,3924.83919330004,0,2
Rehob,2,250.2554,0.4651974,1441.10240007295,0,2
Shechem,3,396.9061,0.5205276,3602.89978788305,0,2
Shephelah,3,319.7924,0.6434693,1039.14555296869,0,2
Sidon,2,554.9878,0.3112552,270.866727986518,0,2
Sumur,1,449.4372,0.2739063,193.496814548729,0,2
Tunip,1,361.0085,0.2683182,2600.88118131673,0,2
Tyre,8,562.4359,0.3318665,147.931600726054,0,2
Ugarit,4,388.0942,0.2602427,1658.76905609568,0,2
Alashiya,4,156.9903,0.3152509,158.761895720929,1,6
Anaharath,3,302.6782,0.4341893,1286.87350051459,0,2
Amurru,16,471.501,0.2757339,1604.42243300788,0,2
Ashtaroth,1,207.6123,0.4023855,5823.1389502472,0,2
Zuhra,3,323.3682,0.6433812,3770.09000240409,0,2
Near Bashan,6,271.7802,0.3979831,5087.56342831395,0,2
Mitanni,14,242.5503,0.0182656,5306.13763821549,1,7
Achshaph,1,524.3554,0.388862,186.773430050528,0,2
Megiddo,6,425.9924,0.4362435,557.32359899003,0,2
Enishasi,1,488.794,0.2895408,6859.09460237973,0,2
Guddashuna,1,403.3097,0.282332,7330.16953848054,0,2
Hasi,2,493.5656,0.2974145,6852.11135987165,0,2
Mushihuna,3,515.4324,0.3028176,6910.82987910028,0,2
Shimon,1,471.629,0.4203227,929.233840888509,0,2
Pehel,2,211.2025,0.4452289,2634.49775948688,0,2
Ginti-Kirmil,3,444.1997,0.5231063,2467.35425180516,0,2
Yurza,2,202.1981,0.7431619,769.172248535175,0,2