Sites,To Tikal,From Tikal,precipitation,cost_from_tikal,prec_corr_tikal
Calakmul,1,3,66.57324,1996.171,0.34488
Caracol,6,0,128.9994,4867.213,0.85389
Copan,0,1,200.1433,11725.85,0.071625
Dos Pilas,6,1,152.4631,1887.164,0.893032
Ixlu,1,0,87.80441,779.6204,0.931049
Ixtutz,1,0,142.2505,3492.015,0.884243
Jimbal,1,0,59.19445,244.2082,0.982499
Naranjo,2,0,68.77898,1029.478,0.94951
Palenque,2,3,163.5952,3178.609,0.011848
Uaxactun,1,0,48.3489,378.5722,0.928636
Xultun,0,1,46.18066,693.3501,0.720793
Yax Ha',0,1,69.59083,627.1603,0.972576
Yaxchilan,1,2,154.2345,2861.04,0.91405